place,municipality,votes.for.sd.parlament.2014,votes.for.m.parlament.2014,asylum.seekers.per.1000.inh
1,Ljusnarsberg,23.74,12.3,138.26
2,Norberg,20.34,14.21,113.94
3,Hultsfred,17.59,14.29,78.33
4,Uppvidinge,20.01,17.68,76.77
5,Östra Göinge,26.03,16.42,69.7
6,Laxå,18.06,13.78,65.95
7,Borgholm,15.29,24.59,61.12
8,Filipstad,21.32,12.31,53.96
9,Valdemarsvik,18.54,19.99,53.13
10,Flen,17.78,18.67,51.99
11,Vingåker,20.51,16.57,50.25
12,Lindesberg,20.88,16.86,48.8
13,Boden,14.66,15.37,45.73
14,Högsby,19.87,14.66,45.12
15,Töreboda,17.35,18.41,44.48
16,Askersund,17.68,17.35,44.16
17,Mellerud,21.11,18.44,43.97
18,Lessebo,17.99,16.29,43.68
19,Kungsör,17.46,18.72,42.81
20,Hagfors,14.34,10.59,41.84
21,Skinnskatteberg,18.15,13.34,41.71
22,Storfors,17.47,12.18,41.39
23,Mönsterås,18.35,16.92,40.78
24,Söderhamn,15.84,15.05,40.56
25,Kramfors,9.71,11.33,36.69
26,Älvsbyn,12.78,8.14,35.63
27,Hedemora,17.45,17.7,34.95
28,Hylte,18.54,17.33,34.5
29,Hällefors,17.96,12.91,34.37
30,Olofström,19.14,13.41,32.48
31,Avesta,19.36,15.45,32.16
32,Jokkmokk,12.77,9.07,31.58
33,Tingsryd,20.42,20.3,31.42
34,Övertorneå,11.01,10.65,30.58
35,Sävsjö,18.73,17.85,30.45
36,Torsås,20.77,16.08,30.38
37,Simrishamn,19.18,25.08,30.29
38,Karlsborg,17.71,17.15,29.75
39,Säffle,17.86,19.1,29.52
40,Kiruna,13.21,10.29,29.27
41,Alvesta,21.55,20.48,28.89
42,Fagersta,18.63,15.48,27.97
43,Torsby,14.36,17.34,27.14
44,Tidaholm,16.66,15.19,26.5
45,Finspång,15.36,16.08,26.31
46,Munkedal,19.23,19.52,26.26
47,Perstorp,25.29,17.43,26.05
48,Svalöv,26.39,17.76,26.03
49,Gullspång,16.38,15.97,25.84
50,Härnösand,11.01,15.49,25.38
51,Bengtsfors,19.25,15.86,24.61
52,Ånge,16.15,11.37,23.88
53,Skara,16.02,21.43,23.74
54,Härjedalen,15.18,17.15,23.73
55,Nybro,17.17,17.28,23.3
56,Eksjö,13.25,20.48,22.84
57,Sunne,12.63,21.45,22.83
58,Arboga,15.45,20.64,22.09
59,Surahammar,18.43,13.56,21.86
60,Nässjö,19.32,16.67,21.78
61,Tranemo,15.42,20.37,21.07
62,Ovanåker,15.98,14.42,20.87
63,Sollefteå,12.82,10.51,20.54
64,Ljusdal,16.58,18.8,20.02
